trial,label,t_edge,t_onset,lat_lo,lat_hi,sigma_vh,v_peak,a_peak,t_apeak,dir_err_deg,d0.05,d0.1,d0.15,d0.2,d0.3,d0.4,d0.5,v0.05,v0.1,v0.15,v0.2,v0.3,v0.4,v0.5
12,+Y,901.8331959999999,901.7561959999999,0.0,0.023000000000001825,0.03446977930558815,1.498524113482567,2.4607972474369357,0.22199999999998,89.24566754155583,0.030943424899818942,0.04913857338777992,0.07290719243841663,0.10261363669081652,0.1802177591044317,0.28038024522540744,0.3991819353788581,0.324076600490629,0.4308219753979292,0.5470462206399352,0.6674077372922851,0.906506515868775,1.1163277383367893,1.278824359456615
13,-Y,910.133196,910.033196,0.0,-2.273181642920008e-14,0.019900409471075044,1.5013283188989266,2.460917277311095,0.27499999999997726,179.63962185378722,0.017000852792248177,0.02900222225774305,0.04558623844836703,0.06740770207801303,0.12827054648565966,0.21236994281104168,0.3175980087702022,0.2015314254159597,0.28520573707142205,0.383837513642849,0.493537257825547,0.7293658265594338,0.9567489112116472,1.149161701256975
14,+X,918.533196,918.438196,0.0,0.004999999999972721,0.021681488750634147,1.4981124773035388,2.469922423697474,0.26499999999998636,89.781334742699,0.017882253693283327,0.030276390519986474,0.04735349922812554,0.06971961666083382,0.13169621790485125,0.21681051989450065,0.3226369478845543,0.21723772076386666,0.3016197069140024,0.40046002019324944,0.5106592626408206,0.7444137103007855,0.9694175745208601,1.1602670809308615
15,-X,926.933196,926.856196,0.0,0.023000000000001825,0.034985295747523654,1.5436887413248497,2.500642226731451,0.21699999999998454,179.6721401176886,0.03179208125274591,0.050312042628541644,0.07447640247619235,0.10466294064442988,0.18350811831567698,0.2853609448632083,0.40632080340213583,0.33323066075458946,0.43971730108116647,0.5574771673439283,0.680929182512615,0.9235834738514844,1.1365407483363126,1.3060458654572977
16,+Y,935.2331959999999,935.1211959999999,0.0,-0.011999999999966343,0.015404778718808191,1.50665160552356,2.494398002769233,0.29500000000007276,89.54030905867107,0.013673943545692938,0.024301013089167153,0.03934788794856116,0.05958091328778006,0.11762705890328752,0.20013955215648033,0.3051294949844416,0.17220855369733712,0.2523793845019268,0.34839719071431174,0.457499563891276,0.7009957470354108,0.940772070174826,1.1468729289125374
17,-Y,943.633196,943.533196,0.0,-2.273181642920008e-14,0.019750519694665743,1.504214540347647,2.466530528365371,0.2899999999999636,179.57386244821188,0.01739356930232408,0.02955529334986,0.04634802632717651,0.06839194236673585,0.12965472495463226,0.21412762845673644,0.31959954897198967,0.2055274854039137,0.2903134222112748,0.3899061738085139,0.5007886364859213,0.7364943236275744,0.9593041334958079,1.151087876254448
18,+X,952.033196,951.966196,0.0,0.03299999999999273,0.038243615357094224,1.5119920139139789,2.476288125192827,0.18999999999994088,90.45705238867606,0.035751477571065955,0.05537195158286049,0.08052739636116654,0.1115035702737667,0.19097871966858218,0.2921380386692689,0.4112591708734022,0.3614014786067342,0.46897709289658196,0.5848384309569326,0.70294931060873,0.9300094046988173,1.1299466629217136,1.288923297936839
19,-X,960.433196,960.3581959999999,0.0,0.02499999999995453,0.03563459262653218,1.5415763653896006,2.4847151865394674,0.20000000000004547,179.68279893008545,0.03304747620202976,0.05190444007604888,0.07642263566681029,0.10696748688049572,0.18642846730766016,0.2887015145443171,0.4100188037446925,0.33707356767535357,0.4456376301456697,0.563406160872147,0.6851953736330194,0.926859469886434,1.138861936835106,1.306303855831738
20,+Y,968.8331959999999,968.758196,0.0,0.025000000000068218,0.03482879560829598,1.5037852767684619,2.4798262680772685,0.19499999999993634,89.03091803660095,0.03113783137487809,0.0493957087423393,0.07327534555575135,0.10318346067812621,0.18128000509849684,0.28199548417420583,0.4012428393005911,0.3311503834626908,0.4380973541479268,0.5563362376459114,0.6789907092563473,0.9178818288663527,1.1267060648726377,1.2884930388691793
21,-Y,977.133196,977.0111959999999,0.0,-0.022000000000070935,0.0138056437006092,1.4955885268016005,2.483958268147009,0.26700000000005275,179.81316555289396,0.012961278614838612,0.02319399991860051,0.03770765819906773,0.05721214047241595,0.11310549424837488,0.1924171714732994,0.29346604117547526,0.16317285383399863,0.2382882709024484,0.33097541188251367,0.43641937182682716,0.6693332272014502,0.9010987235989018,1.1038489792114505
22,+X,985.533196,985.466196,0.0,0.03299999999999273,0.0381541042857385,1.4917920378704133,2.4452857029546156,0.20199999999999818,89.69042982416676,0.03553624428542816,0.05495925045082735,0.0798531399637606,0.11050116985322225,0.1891599733127176,0.2892186688319501,0.40698624512952486,0.36198691402047856,0.467592566783625,0.5790527639754961,0.6942596532353712,0.9210339408508316,1.1185924790227613,1.277049732981206
23,-X,993.933196,993.861196,0.0,0.027999999999997277,0.03610412092405774,1.5305784339426307,2.4768709972678598,0.20199999999999818,179.87426886223716,0.03312281158493341,0.052054302152871046,0.07662946051478066,0.10722939678272504,0.18670518559308802,0.2886948253964009,0.40929600555228035,0.34577612233221816,0.4539213906693874,0.571146655486397,0.6927974722041566,0.9326287398857273,1.1409907840013356,1.3039067306009362
24,+Y,1002.2331959999999,1002.1361959999999,0.0,0.0030000000000200144,0.02004082709209938,1.5096018388282038,2.491844595843717,0.2620000000000573,89.76005708454136,0.0164055828396037,0.02826581499942913,0.04482113876267459,0.06681832916141649,0.12877164951166653,0.21504889604328614,0.3230076611605568,0.20585484429074757,0.29146401911605635,0.3929153235299556,0.5063789652803466,0.7523347967941109,0.9870139170039447,1.183062363303753
25,-Y,1010.633196,1010.546196,0.0,0.01300000000001092,0.023235910024104082,1.4992574197160857,2.4463861692145366,0.23699999999996635,179.4311581655223,0.019902763681775126,0.03305252807223939,0.05093598251765465,0.07416409759282708,0.13783017622669647,0.2244310364684515,0.3313744695307958,0.2318818752218493,0.31910647517734225,0.4216584400937726,0.5342197162039276,0.7669164942585946,0.9854591568653874,1.1703412414702379
26,+X,1019.033196,1018.938196,0.0,0.004999999999972721,0.027725217805967244,1.4996412317827599,2.4827331058345234,0.23300000000006094,89.93158286264656,0.026943994555775543,0.043670827852679776,0.06571653496891539,0.09349674247931555,0.16678761295608072,0.26260759383255045,0.3777744374876622,0.28355003906436166,0.3838151146113994,0.49558631044153184,0.614102208072429,0.8506068253185533,1.060973420544955,1.233289529447911
27,-X,1027.433196,1027.356196,0.0,0.023000000000001825,0.0344800679684063,1.5388430104870636,2.4956221953007285,0.20499999999992724,179.51679888800558,0.03201188770238339,0.0505680150155387,0.07478203860312779,0.10503180114539701,0.18397455550573297,0.28586762447807756,0.4067193750048974,0.33564188878411466,0.4435589754425761,0.5609456906997825,0.6828834149201106,0.9265689767426956,1.1385945857202546,1.3049573471202922
28,?,1035.833196,1035.758196,0.0,0.02499999999995453,0.03506896887678123,1.4975564831637893,2.44937857987306,0.20000000000004547,,0.031111883887832845,0.049311721182289284,0.07304041585961207,0.10266080613474553,0.1799577863186989,0.2796521016466941,0.39780746630217234,0.3384459368435537,0.44453918255651015,0.5596764275866662,0.6789931175264534,0.9163549771991101,1.12365944704674,1.285127043319956
